
2026-04-06 23:07:03,153|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:03,269|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:03,303|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:03,304|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:03,322|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:03,348|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:03,366|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:03,427|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:03,438|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:03,481|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:03,576|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:03,618|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:04,133|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:04,198|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:04,212|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:04,309|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:04,559|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:04,598|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:04,663|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:04,709|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:04,861|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:04,983|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:05,006|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:05,028|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:05,059|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:05,208|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:05,231|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:05,255|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:05,301|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:05,346|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:05,388|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:07:05,472|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:13:24,293|5.45.143.145 | AI_ANOMALY | BLOCK
2026-04-06 23:13:26,131|5.45.143.145 | AI_ANOMALY | BLOCK
2026-04-06 23:13:27,487|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-06 23:13:29,450|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-06 23:13:31,312|5.45.143.145 | XSS_ATTACK | BLOCK
2026-04-06 23:13:33,111|5.45.143.145 | AI_ANOMALY | BLOCK
2026-04-06 23:13:34,888|5.45.143.145 | AI_ANOMALY | BLOCK
2026-04-06 23:13:36,812|5.45.143.145 | XSS_ATTACK | BLOCK
2026-04-06 23:13:39,056|5.45.143.145 | LFI_ATTEMPT | BLOCK
2026-04-06 23:13:40,277|5.45.143.145 | LFI_ATTEMPT | BLOCK
2026-04-06 23:13:42,131|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:13:43,378|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:13:44,579|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:13:46,128|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:13:47,606|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:23:37,744|0.0.0.0 | SYSTEM_READY | AI_V8_ACTIVE
2026-04-06 23:25:05,323|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-06 23:25:07,737|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-06 23:25:09,051|5.45.143.145 | MALICIOUS_LOGIN | BLOCK
2026-04-06 23:25:10,276|5.45.143.145 | MALICIOUS_LOGIN | BLOCK
2026-04-06 23:25:11,489|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-06 23:25:12,981|5.45.143.145 | MALICIOUS_LOGIN | BLOCK
2026-04-06 23:25:14,287|5.45.143.145 | MALICIOUS_LOGIN | BLOCK
2026-04-06 23:25:15,686|5.45.143.145 | LFI_ATTEMPT | BLOCK
2026-04-06 23:25:17,355|5.45.143.145 | LFI_ATTEMPT | BLOCK
2026-04-06 23:25:18,899|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:25:20,149|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:25:21,970|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:25:23,509|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:25:25,048|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:49:04,928|0.0.0.0 | SYSTEM_READY | AI_V8_ACTIVE
2026-04-06 23:50:30,078|5.45.143.145 | MALICIOUS_LOGIN | BLOCK
2026-04-06 23:50:31,120|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-06 23:50:32,141|5.45.143.145 | MALICIOUS_LOGIN | BLOCK
2026-04-06 23:50:33,144|5.45.143.145 | MALICIOUS_LOGIN | BLOCK
2026-04-06 23:50:36,460|5.45.143.145 | MALICIOUS_LOGIN | BLOCK
2026-04-06 23:50:37,468|5.45.143.145 | LFI_ATTEMPT | BLOCK
2026-04-06 23:50:38,529|5.45.143.145 | LFI_ATTEMPT | BLOCK
2026-04-06 23:50:39,860|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:50:41,145|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:50:42,297|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:50:43,751|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:50:45,408|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:59:24,792|5.45.143.145 | MALICIOUS_LOGIN | BLOCK
2026-04-06 23:59:25,797|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-06 23:59:26,872|5.45.143.145 | MALICIOUS_LOGIN | BLOCK
2026-04-06 23:59:27,903|5.45.143.145 | MALICIOUS_LOGIN | BLOCK
2026-04-06 23:59:31,091|5.45.143.145 | MALICIOUS_LOGIN | BLOCK
2026-04-06 23:59:32,134|5.45.143.145 | LFI_ATTEMPT | BLOCK
2026-04-06 23:59:33,186|5.45.143.145 | LFI_ATTEMPT | BLOCK
2026-04-06 23:59:34,198|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:59:35,294|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:59:36,441|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:59:37,527|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:59:38,609|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-07 00:08:00,804|0.0.0.0 | SYSTEM_READY | AI_V8_ACTIVE
2026-04-07 00:08:58,821|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-07 00:08:59,909|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-07 00:09:00,908|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-07 00:09:01,987|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-07 00:09:05,761|5.45.143.145 | XSS_ATTACK | BLOCK
2026-04-07 00:09:06,965|5.45.143.145 | XSS_ATTACK | BLOCK
2026-04-07 00:09:08,026|5.45.143.145 | XSS_ATTACK | BLOCK
2026-04-07 00:09:26,059|5.45.143.145 | LFI_ATTEMPT | BLOCK
2026-04-07 00:09:27,423|5.45.143.145 | AI_ANOMALY | BLOCK
2026-04-07 00:09:28,432|5.45.143.145 | MALICIOUS_REQUEST | BLOCK
2026-04-07 00:09:29,435|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-07 00:09:30,443|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-07 00:09:31,473|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-07 00:10:16,772|5.45.143.145 | USER_SUCCESS | ALLOW
2026-04-07 00:10:48,459|5.45.143.145 | ADMIN_SUCCESS | ALLOW
2026-04-07 01:40:14,851|0.0.0.0 | SYSTEM_READY | AI_V8_ACTIVE
2026-04-07 01:41:40,527|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-07 01:41:41,729|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-07 01:41:42,893|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-07 01:41:44,085|5.45.143.145 | SQL_INJECTION | BLOCK
2026-04-07 01:41:45,301|5.45.143.145 | XSS_ATTACK | BLOCK
2026-04-07 01:41:46,566|5.45.143.145 | XSS_ATTACK | BLOCK
2026-04-07 01:41:47,691|5.45.143.145 | XSS_ATTACK | BLOCK
2026-04-07 01:41:49,302|5.45.143.145 | XSS_ATTACK | BLOCK
2026-04-07 01:41:50,659|5.45.143.145 | LFI_ATTEMPT | BLOCK
2026-04-07 01:41:51,744|5.45.143.145 | LFI_ATTEMPT | BLOCK
2026-04-07 01:41:52,744|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-07 01:41:53,728|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-07 01:41:54,705|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-07 01:41:55,959|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-07 01:41:57,116|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-12 05:19:58,151|0.0.0.0 | SYSTEM_READY | AI_V8_ACTIVE
2026-04-12 05:21:03,362|127.0.0.1 | FAILED_LOGIN | BLOCK
2026-04-12 05:21:22,823|127.0.0.1 | ADMIN_SUCCESS | ALLOW
2026-04-12 05:24:40,509|127.0.0.1 | AI_ANOMALY | BLOCK
2026-04-12 05:25:38,095|127.0.0.1 | AI_ANOMALY | BLOCK
2026-04-12 05:26:58,308|127.0.0.1 | SQL_INJECTION | BLOCK
2026-04-12 05:27:48,839|127.0.0.1 | USER_SUCCESS | ALLOW
2026-04-12 05:28:45,972|127.0.0.1 | AI_ANOMALY | BLOCK
2026-04-12 05:29:18,649|127.0.0.1 | AI_ANOMALY | BLOCK
2026-04-12 05:33:53,719|127.0.0.1 | AI_ANOMALY | BLOCK
2026-04-12 05:34:27,260|127.0.0.1 | ADMIN_SUCCESS | ALLOW
2026-04-12 05:34:41,771|127.0.0.1 | AI_ANOMALY | BLOCK
2026-04-12 05:35:11,951|127.0.0.1 | AI_ANOMALY | BLOCK
2026-04-12 05:35:47,149|127.0.0.1 | DDOS_ATTACK | BLOCK
2026-04-12 05:35:47,520|127.0.0.1 | DDOS_ATTACK | BLOCK
2026-04-12 05:35:48,291|127.0.0.1 | DDOS_ATTACK | BLOCK
2026-04-12 05:35:48,648|127.0.0.1 | DDOS_ATTACK | BLOCK
2026-04-12 05:35:49,090|127.0.0.1 | DDOS_ATTACK | BLOCK
